"n";"Number of streams";"Performance [GFlops]";"Time [ms]";"Flops per matrix";"WorkgroupSize";"Grid size";"Block size"
128;10;68.8982;0.608768;4.1943e+07;64;16;8
128;1;29.6253;1.41578;4.1943e+07;64;16;8
128;10;68.9214;0.608563;4.1943e+07;256;8;16
128;1;36.6894;1.14319;4.1943e+07;256;8;16
128;10;64.2812;0.652493;4.1943e+07;1024;4;32
128;1;28.1609;1.48941;4.1943e+07;1024;4;32
256;10;143.997;2.33021;3.35544e+08;64;32;8
256;1;124.229;2.701;3.35544e+08;64;32;8
256;10;160.604;2.08927;3.35544e+08;256;16;16
256;1;137.421;2.44173;3.35544e+08;256;16;16
256;10;156.328;2.14641;3.35544e+08;1024;8;32
256;1;135.894;2.46917;3.35544e+08;1024;8;32
512;10;184.056;14.5844;2.68435e+09;64;64;8
512;1;177.284;15.1416;2.68435e+09;64;64;8
512;10;246.427;10.8931;2.68435e+09;256;32;16
512;1;206.456;13.002;2.68435e+09;256;32;16
512;10;262.283;10.2346;2.68435e+09;1024;16;32
512;1;214.617;12.5076;2.68435e+09;1024;16;32
1024;10;130.785;164.199;2.14748e+10;64;128;8
1024;1;141.869;151.371;2.14748e+10;64;128;8
1024;10;267.747;80.2056;2.14748e+10;256;64;16
1024;1;238.662;89.9802;2.14748e+10;256;64;16
1024;10;282.429;76.0361;2.14748e+10;1024;32;32
1024;1;249.496;86.0729;2.14748e+10;1024;32;32
2048;10;116.884;1469.82;1.71799e+11;64;256;8
2048;1;123.824;1387.44;1.71799e+11;64;256;8
2048;10;264.799;648.789;1.71799e+11;256;128;16
2048;1;250.107;686.9;1.71799e+11;256;128;16
2048;10;286.208;600.258;1.71799e+11;1024;64;32
2048;1;268.93;638.824;1.71799e+11;1024;64;32
