n;Number of streams;Performance [GFlops];Time [ms];Flops per matrix;WorkgroupSize;Grid size;Block size
128;1;0.538551;77.8813;4.1943e+07;64;16;8
256;1;2.61241;128.442;3.35544e+08;64;32;8
512;1;7.96397;337.063;2.68435e+09;64;64;8
1024;1;15.903;1350.36;2.14748e+10;64;128;8
2048;1;22.7146;7563.34;1.71799e+11;64;256;8
128;10;0.528816;79.3149;4.1943e+07;64;16;8
256;10;2.76722;121.257;3.35544e+08;64;32;8
512;10;7.69427;348.877;2.68435e+09;64;64;8
1024;10;15.4279;1391.95;2.14748e+10;64;128;8
2048;10;24.1862;7103.16;1.71799e+11;64;256;8
128;1;0.524638;79.9466;4.1943e+07;256;8;16
256;1;2.68188;125.116;3.35544e+08;256;16;16
512;1;7.9441;337.906;2.68435e+09;256;32;16
1024;1;16.952;1266.8;2.14748e+10;256;64;16
2048;1;30.4416;5643.54;1.71799e+11;256;128;16
128;10;0.544316;77.0564;4.1943e+07;256;8;16
256;10;2.68554;124.945;3.35544e+08;256;16;16
512;10;7.78932;344.62;2.68435e+09;256;32;16
1024;10;17.4226;1232.58;2.14748e+10;256;64;16
2048;10;30.5646;5620.83;1.71799e+11;256;128;16
128;1;0.526926;79.5995;4.1943e+07;1024;4;32
256;1;2.63072;127.549;3.35544e+08;1024;8;32
512;1;7.77815;345.115;2.68435e+09;1024;16;32
1024;1;17.6607;1215.97;2.14748e+10;1024;32;32
2048;1;31.2115;5504.33;1.71799e+11;1024;64;32
128;10;0.531457;78.9209;4.1943e+07;1024;4;32
256;10;2.54698;131.742;3.35544e+08;1024;8;32
512;10;7.87046;341.067;2.68435e+09;1024;16;32
1024;10;17.4895;1227.87;2.14748e+10;1024;32;32
2048;10;31.2403;5499.26;1.71799e+11;1024;64;32
